row ID	TW.AE.002	TW.AF.001	TW.AG.002	TW.AI.001	TW.AK.001	TW.AM.001	TW.AN.001	TW.AO.001	TW.AP.002	TW.AQ.001	TW.AR.001	TW.AT.001	TW.AU.001	TW.AV.001	TW.AW.001	TW.AX.001	TW.AY.001	TW.AZ.002	TW.BA.002	TW.BD.002	TW.BE.002	TW.BG.001	TW.BI.001	TW.BJ.002	TW.BK.001	TW.BL.002	TW.BM.002	TW.BN.001	TW.BO.001	TW.BQ.001	TW.BS.002	TW.BT.001	TW.BU.002	TW.BV.001	TW.BZ.002	TW.CA.001	TW.CB.002	TW.CC.001	TW.CE.001	TW.CF.001	TW.CG.001	TW.CH.001	TW.CI.002	TW.CK.001	TW.CN.002	TW.CO.001	TW.CP.001	TW.CQ.001	TW.CS.002	TW.CT.001	TW.CU.002	TW.CV.001	TW.CW.001	TW.CY.001	TW.CZ.001	TW.DA.002	TW.DB.001	TW.DG.001	TW.DI.002	TW.DJ.001	TW.DK.002	TW.DM.002	TW.DP.002	TW.DQ.001	TW.DR.001	TW.DS.002	TW.DU.002	TW.DX.001	TW.DY.002	TW.DZ.001	TW.EE.001	TW.EH.002
7378	485.1281	50.405422	504.81467	431.51794	370.27362	136.38007	1221.0256	89.89675	141.59796	390.08228	226.37143	2494.931	722.5728	1080.3853	309.7297	477.57263	1340.4452	122.52516	636.7906	406.86813	0	91.17901	924.84937	672.3387	708.7593	54.723343	581.76807	557.74945	355.11154	389.97137	123.91372	666.06946	147.87405	524.1213	1074.1134	751.0087	21.261658	364.44904	655.6235	67.68227	410.01636	44.34077	133.23921	0	115.75135	55.23113	19.287281	849.18256	886.13306	48.048782	80.350525	16.553667	389.88306	141.26031	539.65466	0	239.37483	180.49797	152.17493	16.628593	1736.7408	50.019108	66.4031	26.957695	871.625	19.984646	19.39162	57.95742	44.70697	47.752678	435.44174	533.6285
6097	2282.4646	487.60913	2248.8953	1351.9086	574.4546	164.56955	7413.1963	1144.7566	213.45357	2194.75	2178.898	5642.696	1210.6467	5677.611	1646.0868	429.77536	2952.8057	933.4357	2601.7744	1873.8569	0	479.1914	4968.6885	3522.6653	2213.9807	544.34204	949.52563	2925.7964	3649.172	1236.7711	636.8447	2948.3481	652.9491	2033.2568	5777.673	2953.394	428.565	756.1841	3617.6392	640.9204	2876.9233	372.64526	3156.9138	11.951793	704.46875	301.26733	1227.3827	2778.7563	3324.8767	133.56358	692.9914	172.47015	3193.7654	422.80627	2863.2268	38.029858	879.6542	1405.2446	1719.4607	295.42972	3851.2427	232.17888	26.89104	86.14308	2248.9922	357.1866	262.54587	204.18922	470.6346	641.15466	1241.5525	1978.2317
269	10.814253	199.11418	162.69829	275.6339	78.062546	0	447.85037	0	0	0	572.4465	442.25504	47.087944	82.33768	0	0	638.9707	0	201.99701	0	0	0	0	53.54128	4.828944	0	234.19772	145.11584	574.8631	98.76377	0	80.13642	65.57288	0	199.38745	180.25346	0	13.7869425	7.3731413	654.21356	135.61337	316.8481	72.88098	0	29.975994	6.830331	0	193.54332	7.7409606	0	189.43318	0	0	112.11363	0	260.87378	190.81941	0	0	117.65308	331.72055	0	0	0	0	83.46618	0	259.50357	181.77795	26.708397	0	17.187853
5341	0	0	15.425548	0	0	0	44.583607	0	0	0	40.647293	11.37343	0	573.75244	0	0	124.11844	0	0	0	0	0	0	0	0	0	0	0	53.097145	0	0	0	0	0	13.202851	0	0	0	0	0	0	8.958317	0	0	0	17.669727	0	0	43.757797	0	8.815512	50.25137	0	0	4.523403	0	0	0	8.998843	0	14.056574	0	0	0	7.8439116	0	0	0	6.6617036	15.545614	39.236465	6.040886
6837	416.2569	0	481.34238	436.45685	322.19296	16.483582	4390.612	1515.2749	203.40489	500.9108	38.15544	14119.544	2681.3123	14315.96	102.56894	5472.378	7224.6445	68.406944	215.16995	295.82443	0	78.55597	354.75452	1742.1373	579.76117	61.314518	1974.1542	267.42108	169.72789	726.2324	38.935753	4848.4497	781.31573	536.1573	4411.0986	1140.7157	22.271357	52.267906	3460.5183	15.1055565	2706.2495	23.43502	327.39304	3.8708487	504.0204	95.617004	42.085266	712.7136	2909.8582	65.8693	251.33157	68.464195	131.73167	77.93609	3120.7075	0	111.78502	105.96701	311.6424	122.4503	495.43616	32.704567	15.222465	22.970135	1573.9216	9.483683	14.669269	0	4.4328146	5.533024	193.37526	877.31866
1683	0	167.85484	16.017952	9.13734	0	0	10.934542	0	0	0	0	0	3.9780092	56.975464	0	0	12.393889	0	0	0	0	0	0	0	0	0	0	0	33.108276	0	9.59017	0	0	0	16.451105	0	0	0	0	402.34967	7.7806807	0	49.08685	0	0	0	4.9437046	18.971231	0	0	0	0	0	0	0	0	16.842815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4493	0	0	0	0	0	0	0	1797.8204	0	0	0	0	0	311.82007	0	0	0	0	0	2606.1592	0	0	0	0	0	704.1361	0	0	0	0	0	13850.584	0	0	0	0	0	0	0	0	934.00385	0	0	0	1592.5747	0	0	0	6920.851	67.44146	2235.621	16.050787	0	69.669685	0	0	0	0	0	709.00464	0	353.5658	0	61.72253	9008.916	0	0	0	0	0	0	109.58697
1953	0	0	15.337365	0	0	0	0	0	0	0	0	0	0	7.3375106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.111748	0	0	0	0	0	0	7.631857	0	0	0	0	0	0	0	0	0	0	0	94.5159	0	0	0	0	0	0	0	122.02046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.345057	0
7565	0	0	0	0	0	0	0	0	0	0	0	617.2071	0	8.153833	0	158.62866	0	0	0	0	0	0	0	10.209827	0	0	0	0	0	0	0	172.56801	0	0	166.71819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.074085	0	0	0	49.823116	0	0	0	0	0	154.31499	90.758766
3949	355.9621	0	157.85889	24.825157	17.646793	0	113.845726	0	0	11.702404	0	36.50222	9.776009	55.06967	183.27069	0	22.378483	49.38066	211.34949	0	0	21.277056	0	75.7373	7.3500276	0	9.36925	46.242558	164.59763	8.491744	288.98288	62.692474	1439.8824	16.857346	18.489792	29.78706	6.606805	0	0	53.319916	11.19558	0	2266.4768	0	42.34467	0	0	1081.0365	0	0	0	0	123.56126	51.4701	0	1581.4147	0	0	101.19467	0	47.947037	0	0	0	60.99781	5.1394167	23.689236	51.129974	0	66.92881	46.47924	91.64807
